Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
41012400,LOYOLA,32,D,TXFR,,,,,left_only
41012401,LOYOLA,32,D,TXFR,,,,,left_only
41012402,LOYOLA,32,D,TXFR,,,,,left_only
41012632,BURNEY,32,D,TXFR,,,,,left_only
41012152,GEYSERVILLE,32,D,TXFR,,,,,left_only
41012221,HOPLAND,32,D,TXFR,,,,,left_only
41012858,COVELO,32,D,TXFR,,,,,left_only
41015279,COVELO,32,D,TXFR,,,,,left_only
41015280,COVELO,32,D,TXFR,,,,,left_only
41014957,TAR FLAT,32,D,TXFR,,,,,left_only
41013854,RIO BRAVO,32,D,TXFR,,,,,left_only
41015259,CARLOTTA,42,D,TXFR,,,,,left_only
41015258,CARLOTTA,32,D,TXFR,,,,,left_only
41015257,CARLOTTA,52,D,TXFR,,,,,left_only
41012786,COLONY,32,D,TXFR,,,,,left_only
41012238,ORO LOMA,32,D,TXFR,,,,,left_only
41012788,COLONY,32,D,TXFR,,,,,left_only
41012789,COLONY,32,D,TXFR,,,,,left_only
41013668,OREGON TRAIL,32,D,TXFR,TXFR,2026-05-06,,JIT,both
41014174,TEJON,42,D,TXFR,,,,,left_only
41013667,OREGON TRAIL,32,D,TXFR,TXFR,2026-05-06,,JIT,both
41012240,ORO LOMA,32,D,TXFR,,,,,left_only
41012239,ORO LOMA,32,D,TXFR,,,,,left_only
41015151,FORT ROSS,32,D,TXFR,,,,,left_only
41012985,FORT ROSS,42,D,TXFR,,,,,left_only
41012986,FORT ROSS,32,D,TXFR,,,,,left_only
41012082,FORT ROSS,32,D,TXFR,,,,,left_only
41014182,TERMINOUS,32,D,TXFR,,,,,left_only
41014077,SMYRNA,31,D,TXFR,,,,,left_only
41014079,SMYRNA,31,D,TXFR,,,,,left_only
41015155,CALFLAX,41,D,TXFR,,,,,left_only
41014651,ANNAPOLIS,31,D,TXFR,,,,,left_only
41012497,ANNAPOLIS,31,D,TXFR,,,,,left_only
41013383,MAXWELL,31,D,TXFR,,,,,left_only
41012496,ANNAPOLIS,31,D,TXFR,,,,,left_only
41014498,LOS COCHES,31,D,TXFR,,,,,left_only
41013326,LOS COCHES,31,D,TXFR,,,,,left_only
41013633,OAKLAND I,43,D,TXFR,,,,,left_only
41014074,SIXTH AVE,33,D,TXFR,,,,,left_only
41013819,RANDOLPH,33,D,TXFR,,,,,left_only
41014924,STUART,33,D,TXFR,,,,,left_only
41014840,SOQUEL,33,D,TXFR,,,,,left_only
41012510,ARANA,33,D,TXFR,,,,,left_only
41013695,PACIFIC GROVE,33,D,TXFR,,,,,left_only
41015265,CASSERLY,32,D,TXFR,,,,,left_only
41012123,WALNUT CREEK,32,D,TXFR,,,,,left_only
41015015,WALNUT CREEK,32,D,TXFR,,,,,left_only
41015041,WILLITS A,33,D,TXFR,,,,,left_only
41014328,WILLITS A,33,D,TXFR,,,,,left_only
41015039,WILLITS A,33,D,TXFR,,,,,left_only
41015040,WILLITS A,33,D,TXFR,,,,,left_only
41012773,CLOVERDALE,33,D,TXFR,,,,,left_only
41012771,CLOVERDALE,33,D,TXFR,,,,,left_only
41012772,CLOVERDALE,33,D,TXFR,,,,,left_only
41012770,CLOVERDALE,33,D,TXFR,,,,,left_only
41014131,REDWOOD CITY,32,D,TXFR,,,,,left_only
41014142,REDWOOD CITY,32,D,TXFR,,,,,left_only
41014121,REDWOOD CITY,32,D,TXFR,,,,,left_only
41012268,HILLSDALE,32,D,TXFR,,,,,left_only
41012267,HILLSDALE,32,D,TXFR,,,,,left_only
41013147,HILLSDALE,32,D,TXFR,,,,,left_only
41012338,OLD KEARNEY,32,D,TXFR,,,,,left_only
41012342,OLD KEARNEY,32,D,TXFR,,,,,left_only
41012343,OLD KEARNEY,32,D,TXFR,,,,,left_only
41014411,BIG MEADOWS,32,D,TXFR,,,,,left_only
41012577,BIG MEADOWS,32,D,TXFR,,,,,left_only
41012578,BIG MEADOWS,32,D,TXFR,,,,,left_only
41014274,WASCO,32,D,TXFR,,,,,left_only
41014273,WASCO,32,D,TXFR,,,,,left_only
41014272,WASCO,32,D,TXFR,,,,,left_only
41013417,ORLAND B,32,D,TXFR,,,,,left_only
41013418,ORLAND B,32,D,TXFR,,,,,left_only
41014057,SHADY GLEN,32,D,TXFR,,,,,left_only
41014006,RALSTON,32,D,TXFR,,,,,left_only
41014012,RALSTON,32,D,TXFR,,,,,left_only
41014010,RALSTON,32,D,TXFR,,,,,left_only
41013672,PHILO,32,D,TXFR,,,,,left_only
41013678,PHILO,32,D,TXFR,,,,,left_only
41014252,VASCO,32,D,TXFR,,,,,left_only
41014786,VASCO,42,D,TXFR,,,,,left_only
41014251,VASCO,32,D,TXFR,,,,,left_only
41012636,BURNEY,32,D,TXFR,,,,,left_only
41012635,BURNEY,32,D,TXFR,,,,,left_only
41013758,PINE GROVE,32,D,TXFR,TXFR,2026-01-30,,JIT,both
41014742,PINE GROVE,32,D,TXFR,TXFR,2026-01-30,,JIT,both
41013759,PINE GROVE,32,D,TXFR,TXFR,2026-01-30,,JIT,both
41014979,UPPER LAKE,32,D,TXFR,,,,,left_only
41014980,UPPER LAKE,32,D,TXFR,,,,,left_only
41014981,UPPER LAKE,32,D,TXFR,,,,,left_only
41015124,BARRY,32,D,TXFR,,,,,left_only
41015126,BARRY,32,D,TXFR,,,,,left_only
41015127,BARRY,32,D,TXFR,,,,,left_only
41014943,TEJON,32,D,TXFR,,,,,left_only
41014944,TEJON,32,D,TXFR,,,,,left_only
41014959,TAR FLAT,32,D,TXFR,,,,,left_only
