Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
40995491,BELMONT SUB,43,D,BRKR,,,,,left_only
40995311,STOCKTON A SUB,43,D,BRKR,,,,,left_only
40996837,PINE GROVE SUB,53,D,BRKR,,,,,left_only
40995358,STOCKTON A SUB,53,D,BRKR,,,,,left_only
40995464,BAY MEADOWS SUB,53,D,BRKR,,,,,left_only
40995299,STELLING SUB,43,D,BRKR,,,,,left_only
40995051,EL PATIO SUB,53,D,BRKR,,,,,left_only
40995388,BAY MEADOWS SUB,53,D,BRKR,,,,,left_only
40995056,FAMOSO SUB,53,D,BRKR,,,,,left_only
40996391,MABURY SUB,53,D,BRKR,,,,,left_only
40995305,STELLING SUB,43,D,BRKR,,,,,left_only
40995951,FAMOSO SUB,53,D,BRKR,,,,,left_only
40995506,BLUE LAKE SUB,42,D,BRKR,,,,,left_only
40989982,WHISMAN SUB,42,D,BRKR,,,,,left_only
40995928,EL PATIO SUB,42,D,BRKR,,,,,left_only
40995301,STELLING SUB,42,D,BRKR,,,,,left_only
40989983,WHISMAN SUB,42,D,BRKR,,,,,left_only
